, https://www.mediawiki.org/
Jump to navigation, #mw-head
Jump to search, #searchInput
Disambiguazione, /wiki/Aiuto:Disambiguazione
Aristotele, /wiki/Aristotele
Fisica (Aristotele), /wiki/Fisica_(Aristotele)
fenomeni, /wiki/Fenomeno
dispersione ottica, /wiki/Dispersione_ottica
ottica, /wiki/Ottica
laser, /wiki/Laser
forza di Archimede, /wiki/Principio_di_Archimede
trottola, /wiki/Trottola
meccanica classica, /wiki/Meccanica_classica
urto anelastico, /wiki/Urto_anelastico
orbitali, /wiki/Orbitale_atomico
atomo, /wiki/Atomo
meccanica quantistica, /wiki/Meccanica_quantistica
bomba atomica, /wiki/Bomba_atomica
fulmine, /wiki/Fulmine
elettrico, /wiki/Elettricit%C3%A0
galassie, /wiki/Galassia
telescopio spaziale Hubble, /wiki/Telescopio_spaziale_Hubble
latino, /wiki/Lingua_latina
greco, /wiki/Lingua_greca
scienza, /wiki/Scienza
natura, /wiki/Natura
misurati, /wiki/Misurazione
grandezze fisiche, /wiki/Grandezza_fisica
principi, /wiki/Principio
leggi, /wiki/Legge_fisica
metodo scientifico, /wiki/Metodo_scientifico
modello, /wiki/Modello_fisico
[1], #cite_note-modello-1
teoria, /wiki/Teoria
deduttiva, /wiki/Deduzione
induzione, /wiki/Induzione
1 Storia, #Storia
2 Descrizione, #Descrizione
2.1 Metodo scientifico, #Metodo_scientifico
2.2 Misurazione, #Misurazione
2.2.1 Errori sperimentali, #Errori_sperimentali
2.3 Spazio e Tempo, #Spazio_e_Tempo
2.4 Massa, #Massa
2.5 Forza e Campo, #Forza_e_Campo
2.6 Modello, #Modello
3 Principali fenomeni fisici e teorie fisiche, #Principali_fenomeni_fisici_e_teorie_fisiche
3.1 Fisica classica, #Fisica_classica
3.2 Fisica moderna, #Fisica_moderna
3.3 Fisica sperimentale e fisica teorica, #Fisica_sperimentale_e_fisica_teorica
3.4 Fisica applicata, #Fisica_applicata
4 Branche della fisica, #Branche_della_fisica
4.1 Fisica matematica, #Fisica_matematica
4.2 Fisica atomica, #Fisica_atomica
4.3 Fisica della materia condensata, #Fisica_della_materia_condensata
4.4 Fisica nucleare e delle particelle, #Fisica_nucleare_e_delle_particelle
4.5 Fisica dei sistemi complessi, #Fisica_dei_sistemi_complessi
4.6 Fisica cibernetica, #Fisica_cibernetica
4.7 Fisica medica, #Fisica_medica
4.8 Biofisica, #Biofisica
4.9 Astrofisica, #Astrofisica
4.10 Geofisica, #Geofisica
5 Rapporti con le altre discipline, #Rapporti_con_le_altre_discipline
5.1 Matematica, #Matematica
5.2 Statistica, #Statistica
5.3 Informatica, #Informatica
5.4 Chimica, #Chimica
5.5 Ingegneria, #Ingegneria
5.6 Economia, #Economia
5.7 Filosofia, #Filosofia
6 Contributi e sviluppi conoscitivi, #Contributi_e_sviluppi_conoscitivi
7 Note, #Note
8 Bibliografia, #Bibliografia
9 Voci correlate, #Voci_correlate
10 Altri progetti, #Altri_progetti
11 Collegamenti esterni, #Collegamenti_esterni
modifica, /w/index.php?title=Fisica&veaction=edit&section=39
modifica wikitesto, /w/index.php?title=Fisica&action=edit&section=39
Storia della fisica, /wiki/Storia_della_fisica
storici della scienza, /wiki/Storia_della_scienza
Talete, /wiki/Talete
Empedocle, /wiki/Empedocle
Leucippo, /wiki/Leucippo
Democrito, /wiki/Democrito
Parmenide, /wiki/Parmenide
Popper, /wiki/Karl_Popper
senza fonte, /wiki/Wikipedia:Uso_delle_fonti
[2], #cite_note-Popper2002-2
Rivoluzione scientifica, /wiki/Rivoluzione_scientifica
XVII secolo, /wiki/XVII_secolo
Niccolò Copernico, /wiki/Niccol%C3%B2_Copernico
Keplero, /wiki/Keplero
Tycho Brahe, /wiki/Tycho_Brahe
Galileo Galilei, /wiki/Galileo_Galilei
Leibniz, /wiki/Leibniz
Newton, /wiki/Isaac_Newton
meccanica celeste, /wiki/Meccanica_celeste
calcolo infinitesimale, /wiki/Calcolo_infinitesimale
XVIII secolo, /wiki/XVIII_secolo
chimica, /wiki/Chimica
XIX secolo, /wiki/XIX_secolo
biologia, /wiki/Biologia
scienze della Terra, /wiki/Scienze_della_Terra
termodinamica, /wiki/Termodinamica
elettromagnetismo, /wiki/Elettromagnetismo
fisica classica, /wiki/Fisica_classica
fisica moderna, /wiki/Storia_della_fisica
teoria della relatività, /wiki/Teoria_della_relativit%C3%A0
Isaac Newton, /wiki/Isaac_Newton
[3], #cite_note-3
filosofia, /wiki/Filosofia
filosofia naturale, /wiki/Filosofia_naturale
[4], #cite_note-4
fenomeno, /wiki/Fenomeno
ipotesi, /wiki/Ipotesi
esperimenti, /wiki/Esperimento
assiomi, /wiki/Assioma
postulati, /wiki/Postulato
leggi empiriche, /wiki/Legge_empirica
legge fisica, /wiki/Legge_fisica
ciclo conoscitivo, /wiki/Ciclo_conoscitivo
induttivo, /wiki/Induzione
grandezza fisica, /wiki/Grandezza_fisica
misura, /wiki/Misura_(metrologia)
unità di misura, /wiki/Unit%C3%A0_di_misura
[5], #cite_note-5
materia, /wiki/Materia_(fisica)
spazio, /wiki/Spazio_(fisica)
tempo, /wiki/Tempo
scienza dura, /wiki/Scienza_dura
